produs2,pret
"piept de pui dezosat agricola puiul fericit, per kg",25.99
piept vitel fara os per kg,28.59
pulpa de pui superioara dezosata fara piele coco rico per kg,17.99
spinari si spate de pui agricola puiul fericit per kg,6.49
pulpa de manzat gastro per kg,24.99
aripioare de pui cu piele fragedo family pack per kg,11.49
inima feliata de vita per kg,12
aripioare de pui cu piele bravis per kg,10.99
pulpe de pui inferioare cu piele fragedo per kg,12.99
snitel de porc x2,13.99
rasol de porc per kg,8.99
rasol manzat fara os per kg,28.99
cubulete vitel per kg,31.49
pulpa de pui cu piele cu o portiune de spate atasata fragedo per kg,8.29
carne tocata amestec gastro per kg,13.99
burta de vita per kg,17.99
pulpa inferioaara de pui cu os si piele coco rico per kg,9.49
antricot vitel fara os per kg,30.99
pierrade porc per kg,24.99
snitel de manzat x4,24.99
antricot de manzat x4,31.99
pulpa manzat fara os per kg,28.88
rasol alb de manzat per kg,28.99
cubulete din piept de pui agricola per kg,21.49
ciolan de curcan penes per kg,14.99
hamburger din manzat natur x3,27.99
pastrama din pulpa de porc per kg,17.99
piept manzat rulat per kg,23.99
t-bone de manzat per kg,37
cubulete de porc gastro per kg,13.99
aripi de pui agricola puiul fericit per kg,18.79
antricot de manzat x2 per kg,31.99
spata vitel fara os per kg,27.59
aripi de pui cu piele coco rico per kg,10.99
cubulete de manzat per kg,28.99
osso bucco per kg,22.99
ceafa de porc fara os x1,14.99
pulpa superioara de pui cu os si piele coco rico per kg,11.99
pierrade manzat si porc per kg,26.36
hamburger de manzat natur x2,100
stroganoff de manzat per kg,29.99
nuca manzat fara os per kg,29.9
vrabioara de manzat x4,31.99
snitel de manzat x2 per kg,24.99
carpaccio per kg,35.99
pierrade manzat per kg,30.76
snitel de manzat x1,24.99
vrabioara de manzat x2 per kg,31.99
muschi file afumat meda medalis 150g,5.2
salam sinaia cris-tim 100g,4.57
sunca din piept de pui feliata meda 150g,4.89
pachet salam sinaia + chorizo + potcoava cris-tim 150g,9.2
specialitate curcan fouantre feliata ifantis 150g,8.4
jambon padurea neagra reinert 100g,8.49
bacon mic dejun feliat carrefour 100g,4.59
sunca praga meda medalis 200g,6.3
crenvursti din piept de pui in vid angst 400g,12.1
sunca de pui aldis 400g,13.65
mortadella reinert martinel 90g,5.39
prosciutto crudo zimbo 70g,10
carnati de plescoi aldis 450g,12.99
carnati cabanos extra aldis 450g,13
pate reinert martinel 125g,6.16
crenvursti cu piept de pui meda 250g,6.94
crenvursti piept de pui meda per kg,24.3
"sunca praga, feliata matache macelaru' 100g",9.71
salam de sibiu salsi 470g,29.7
bacon meda 150g,6.69
"pastrama de vita, feliata ifantis 100g",5.6
salam de sibiu crud-uscat carrefour 350g,12.3
salam banatean crud-uscat feliat carrefour 100g,2.69
carnati cabanos angst  280g,7.05
"piept de curcan bio, feliat golfera 80g",17.45
sunca germana traditionala westfalia reinert delikatessen 100g,8.65
salam victoria mini caroli 400g,9
sunca de pui sissi 650g,24
salam de sibiu agricola 470g,29.69
parizer taranesc cu ardei zimbo family 200g,5.85
sunca praga angst 350g,14.65
salami zimbo150g,7.55
file de curcan ifantis 100g,4.8
salam sibiu crud-uscat feliat carrefour 100g,6.41
"jambon crud-uscat, feliat carrefour 100g",6.76
sunca praga din piept de curcan angst 350g,20.2
pastrama haiduceasca meda 150g,7.2
crenvursti cu branza wudy 150g,3.85
salam victoria feliat caroli 100g,3
mortadella cu masline feliata ifantis 200g,4.47
carnaciori de bere in vid angst 400g,10.4
pachet salam sasesc cris-tim 600g,17.7
sunca de porc sissi 650g,22.5
muschi tiganesc matache per kg,30.2
crenvursti din pui si curcan wudy 250g,4
crenvursti cu piept de pui aldis 450g,10.2
mini pate cu ficat de pui perutnina pepe 50g,1.7
salam speck afumat zimbo 100g,5.89
carnati cabanos extra aldis per kg,23.3
salam banatean crud-uscat carrefour 350g,9.32
scarita afumata maestro per kg,23.29
crenvursti din pui si curcan in vid wudy 100g,2
salam victoria mini cris-tim 400g,8.29
hot dog angst 300g,6.4
salam de curcan afumat uscat si feliat carrefour 150g,5.93
"piept de pui bio, feliat golfera 80g",16.13
jambon fiert extra espina 200g,15.56
carnati de bere in vid caroli 400g,11.99
carnati polonezi meda per kg,18.99
crenvursti de pui cris-tim 280g,8
"sunca taraneasca, feliata matache macelaru' 100g",5.55
parizer cu porc carrefour discount 1kg,4.99
pastrama de curcan traditionala angst per kg,35.9
carnati sticks picanti aldis 200g,8.69
salam victoria caroli 800g+80g gratuit,17.6
salam sasesc cris-tim 650g,21.89
mini salam sasesc picant cris-tim 350g,9.85
bacon cris-tim 100g,5
"mortadella bio, feliata golfera 80g",11.55
parizer taranesc afumat cu piept de pui meda per kg,16.3
pasta cu ficat de pui campofrio 150g,2.93
salam uscat agricola 200g,6.95
crenvursti angst per kg,20.9
crenvursti de porc ifantis 250g,5.93
prosciutto crudo zimbo 80g,10.18
crenvursti de pui extra aldis 450g,9.95
sunca praga meda per kg,26
jambon presat de porc aldis 400g,12.95
"prosciutto crudo riserva bio, feliat golfera 80g",26.4
carnati oltenesti vid 400g angst,10.56
mini crenvursti de pui pepe 100g,3.55
parizer taranesc porc cris-tim per kg,14.3
"prosciutto crudo, feliat beretta 70g",12.65
salam reinert martinel 90g,9.5
chorizo extra feliat espina 75g,8.35
sunca presata din piept de pui fox 450g,7.95
salam trapez reinert delikatessen 80g,6.15
salam banatean aldis 320g,12.49
jambon zimbo serrano 80g,13.6
salam de vara extra fox 400g,8.2
carnati sticks picanti agricola 150g,10.75
salam potcoava cris-tim 100g,5.95
pasta cu ficat de pui caroli 150g,3.2
carnati sticks aldis 200g,10.1
kaiser aldis per kg,37.9
piept de curcan espina lonchas frescas rosetas 200g,16.9
jambon piept de curcan angst per kg,42.85
salam trapez cu piper negru reinert delikatessen 80g,5.85
muschi tiganesc cris-tim 100 g,3.55
salam cu sunca taraneasca caroli 650g,10.73
kaiser meda per kg,34.76
sunca praga feliata caroli 100g,6.25
salam sibiu agricola per kg,56.05
muschiulet de porc crud-uscat feliat espina lomo 75g,10.64
pate taranesc cu ficat de porc si usturoi pate grand-mere 175g,7.08
pasta cu ficat de pui carrefour 150g,2.49
pastrama de porc ifantis 100g,4.95
salam ambasador feliat agricola 150g,9.6
pate cu mere pate grand-mere 125g,10.33
carnati semiafumati meda per kg,25.9
salam trapez cu verdeata reinert delikatessen 80g,6.15
crenvuresti polonezi de porc fox per kg,14.4
mini parizer cu pui alpinia 500g,6.1
sunca praga angst per kg,38.3
salam victoria extra zimbo family 200g,7.6
"salam italian bio, feliat golfera 80g",14.75
pachet crenvursti de curcan perutnina 2x350g,12
salam de vara uscat cris-tim 300g,6.95
salam banatean vid 150g agricola,7.8
ceafa presata meda per kg,27.3
jambon praga angst per kg,49.2
salam sibiu reinert 350g,19
parizer cu porc carrefour discount 500g,2.75
pachet salam de vara campofrio 900g,14.98
